,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score
963,2,1.0,1.0,1.0,2,0.5,0.5277777777777778,0.5135135135135136
964,3,0.3194444444444444,0.448051948051948,0.37297297297297294,3,0.3053435114503817,0.5194805194805194,0.3846153846153846
965,3,0.4220963172804533,0.93125,0.5808966861598441,3,0.4056338028169014,0.9,0.5592233009708738
966,2,0.32,0.5333333333333333,0.4,2,0.3333333333333333,0.6,0.42857142857142855
967,3,0.6923076923076923,0.8839285714285714,0.776470588235294,3,0.7171052631578947,0.9732142857142856,0.8257575757575757
968,3,0.30789707187222715,0.94421768707483,0.4643693542990968,2,0.18300423131170665,0.7061224489795919,0.29067488098571825
969,2,1.0,1.0,1.0,2,1.0,1.0,1.0
970,3,0.4954296160877514,0.7445054945054945,0.5949506037321625,3,0.5870841487279843,0.8241758241758241,0.6857142857142857
971,3,0.4922279792746114,0.9047619047619048,0.6375838926174497,2,0.16279069767441862,0.4666666666666667,0.24137931034482765
972,2,0.2241379310344828,0.8348623853211009,0.3533980582524272,2,0.1865671641791045,0.6880733944954128,0.2935420743639922
973,3,0.43478260869565216,0.925925925925926,0.591715976331361,2,0.1558109833971903,0.5648148148148148,0.24424424424424426
974,2,1.0,1.0,1.0,2,1.0,1.0,1.0
975,3,0.2806324110671937,0.9220779220779219,0.43030303030303024,2,0.19113573407202214,0.8961038961038961,0.31506849315068497
976,4,0.5057471264367817,0.6984126984126984,0.5866666666666667,3,0.2531645569620253,0.4232804232804233,0.31683168316831684
977,2,0.2123287671232877,0.5740740740740741,0.31,2,0.2903225806451613,1.0,0.4500000000000001
978,3,0.9166666666666666,0.88,0.8979591836734694,2,0.40540540540540543,0.6,0.4838709677419356
979,3,0.2214738510301109,0.7962962962962963,0.3465592064476132,4,0.3192834562697576,0.8632478632478633,0.4661538461538462
980,4,0.3924914675767918,0.782312925170068,0.5227272727272727,2,0.2087378640776699,0.8775510204081632,0.3372549019607843
981,2,1.0,1.0,1.0,2,0.4722222222222222,0.5,0.4857142857142857
982,3,0.09574468085106384,0.3,0.14516129032258066,2,0.136986301369863,0.6666666666666666,0.2272727272727273
983,2,0.39867109634551495,0.975609756097561,0.5660377358490566,2,0.39158576051779936,0.9837398373983741,0.5601851851851851
984,2,0.3956043956043956,0.9,0.5496183206106869,2,0.4444444444444444,1.0,0.6153846153846153
985,3,0.5454545454545454,0.5217391304347826,0.5333333333333332,2,0.2894736842105263,0.4782608695652174,0.36065573770491793
986,2,0.27956989247311825,0.8441558441558441,0.4200323101777059,2,0.18695652173913044,0.5584415584415584,0.28013029315960913
987,2,1.0,1.0,1.0,2,1.0,1.0,1.0
988,2,0.8767123287671232,0.8888888888888888,0.8827586206896552,1,0.4705882352941176,1.0,0.6399999999999999
989,3,0.8943661971830986,0.8246753246753247,0.8581081081081081,2,0.4703196347031963,0.6688311688311688,0.552278820375335
990,2,0.6666666666666666,0.8,0.7272727272727272,2,0.43478260869565216,0.5714285714285714,0.4938271604938271
991,4,0.35324015247776364,0.7722222222222223,0.4847428073234525,2,0.20076726342711,0.8722222222222222,0.3264033264033264
992,2,0.3580246913580247,0.7435897435897436,0.4833333333333333,1,0.2280701754385965,1.0,0.3714285714285714
993,2,1.0,1.0,1.0,1,0.6444444444444445,1.0,0.7837837837837839
994,3,0.3745019920318725,0.9591836734693876,0.5386819484240687,2,0.14652956298200515,0.5816326530612245,0.23408624229979466
995,3,0.4596541786743516,0.8179487179487179,0.5885608856088561,2,0.19611650485436893,0.5179487179487179,0.28450704225352114
996,4,0.2685314685314685,0.7619047619047619,0.39710444674250256,2,0.19066147859922175,0.9722222222222222,0.3188028627195836
997,1,0.5604395604395604,1.0,0.7183098591549296,2,0.5294117647058824,0.5294117647058824,0.5294117647058824
998,3,0.5755395683453237,0.7476635514018691,0.6504065040650405,2,0.3288590604026846,0.6105919003115264,0.4274809160305344
999,3,0.6304909560723514,1.0,0.7733755942947701,2,0.3793103448275862,0.8114754098360656,0.5169712793733682
1000,3,0.2982625482625483,0.8025974025974026,0.4349049964813511,3,0.2880434782608696,0.8259740259740259,0.4271323035594359
1001,3,0.4573378839590443,0.5224171539961013,0.4877161055505004,2,0.3208232445520581,0.5165692007797271,0.3958177744585512
1002,2,0.38011695906432746,0.9352517985611509,0.5405405405405406,2,0.3702623906705539,0.9136690647482014,0.5269709543568465
1003,3,0.2711538461538461,0.7324675324675325,0.3957894736842105,2,0.12957937584803256,0.4961038961038961,0.20548682087143624
1004,3,0.38738738738738737,1.0,0.5584415584415584,3,0.38738738738738737,1.0,0.5584415584415584
1005,2,0.5853658536585366,1.0,0.7384615384615384,3,1.0,1.0,1.0
1006,3,0.2,0.6363636363636364,0.3043478260869565,2,0.1092436974789916,0.5909090909090909,0.1843971631205674
1007,3,0.21940928270042195,0.631578947368421,0.32567849686847605,4,0.2857142857142857,0.7206477732793523,0.40919540229885054
1008,2,1.0,1.0,1.0,2,1.0,1.0,1.0
1009,2,1.0,1.0,1.0,1,0.4857142857142857,1.0,0.6538461538461539
1010,3,0.15582450832072614,0.544973544973545,0.2423529411764706,1,0.0967741935483871,1.0,0.17647058823529413
1011,3,0.2724458204334365,0.4,0.3241252302025783,2,0.2207792207792208,0.4636363636363636,0.2991202346041056
1012,3,0.3838951310861423,0.8266129032258065,0.5242966751918159,4,0.4416243654822335,0.7016129032258065,0.5420560747663552
1013,3,0.18848614072494668,0.7072,0.2976430976430976,2,0.12138927097661625,0.5648,0.1998301726577979
1014,3,0.3916710595677385,0.809368191721133,0.527886323268206,4,0.4846107423053712,0.8747276688453159,0.6236893203883496
1015,2,1.0,1.0,1.0,2,0.7,0.5384615384615384,0.608695652173913
1016,2,0.21052631578947367,0.9142857142857144,0.3422459893048128,2,0.18181818181818185,0.8380952380952381,0.2988115449915111
1017,3,0.2263779527559055,0.6686046511627907,0.33823529411764697,3,0.2551440329218107,0.7209302325581395,0.3768996960486322
1018,3,0.4246771879483501,0.8969696969696971,0.5764362220058422,3,0.4761904761904762,1.0,0.6451612903225806
1019,4,0.3858156028368793,0.9444444444444444,0.5478348439073515,2,0.11306340718105425,0.5138888888888888,0.18534752661239826
1020,2,0.21227197346600327,0.8126984126984127,0.3366206443129519,2,0.20742534301856336,0.8158730158730159,0.3307593307593307
1021,3,0.2836438923395445,0.8954248366013072,0.4308176100628932,2,0.13302752293577982,0.5686274509803921,0.21561338289962828
1022,3,0.21476888387824125,0.6276771004942341,0.32003359932801345,3,0.20609026644915715,0.6243822075782537,0.3098937040065413
1023,2,0.5555555555555556,1.0,0.7142857142857143,1,0.2777777777777778,1.0,0.4347826086956522
1024,2,0.10526315789473684,0.3157894736842105,0.15789473684210525,2,0.2280701754385965,0.6842105263157895,0.3421052631578948
1025,4,0.36323851203501095,0.6484375,0.4656381486676017,3,0.2765273311897106,0.671875,0.3917995444191344
1026,3,0.2505592841163311,0.8115942028985508,0.3829059829059829,3,0.2810304449648712,0.8695652173913043,0.4247787610619469
1027,2,0.4722222222222222,1.0,0.6415094339622641,2,0.4722222222222222,1.0,0.6415094339622641
1028,3,0.21882086167800452,0.5160427807486629,0.3073248407643312,2,0.19408121128699246,0.7540106951871658,0.30870279146141216
1029,4,0.3926174496644295,0.8224956063268892,0.5315161839863713,3,0.21062271062271065,0.8084358523725835,0.33418089357065023
1030,2,1.0,1.0,1.0,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
1031,3,0.33663366336633666,0.8717948717948718,0.4857142857142858,2,0.2084507042253521,0.9487179487179488,0.3418013856812933
1032,3,0.4397163120567376,1.0,0.6108374384236454,2,0.24719101123595505,0.8870967741935484,0.3866432337434095
1033,2,0.3296703296703297,0.7317073170731707,0.4545454545454545,3,0.2307692307692308,0.36585365853658536,0.28301886792452835
1034,2,1.0,1.0,1.0,2,0.5073891625615764,0.6023391812865497,0.5508021390374332
1035,3,0.17840497151734852,0.5629084967320261,0.27093983484073925,3,0.15011258443832876,0.4901960784313725,0.2298410266232523
1036,2,0.2903225806451613,0.6,0.3913043478260869,2,0.2903225806451613,0.6,0.3913043478260869
1037,2,0.19672131147540986,0.8571428571428571,0.3200000000000001,3,0.15267175572519084,0.4761904761904762,0.2312138728323699
1038,3,0.35461801596351195,0.8205804749340371,0.4952229299363058,4,0.4761904761904762,0.8179419525065963,0.6019417475728155
1039,3,0.2849193099610462,0.6965986394557823,0.4044233807266983,2,0.1290680473372781,0.4748299319727891,0.20296597848211687
1040,3,0.37760702524698136,0.7835990888382688,0.5096296296296297,2,0.20266889074228525,0.5535307517084282,0.2967032967032968
1041,2,0.625,0.5555555555555556,0.5882352941176471,2,0.4375,0.3888888888888889,0.411764705882353
1042,3,0.501010101010101,0.5403050108932462,0.5199161425576521,2,0.3119777158774373,0.4880174291938998,0.3806287170773152
1043,4,0.5393474088291746,0.8920634920634921,0.6722488038277512,3,0.4204892966360856,0.873015873015873,0.5675954592363261
1044,3,0.3776091081593928,0.7210144927536232,0.4956413449564136,3,0.2279293739967897,0.5144927536231884,0.31590656284760843
1045,3,0.30701754385964913,0.8860759493670886,0.4560260586319218,2,0.1871345029239766,0.810126582278481,0.30403800475059384
1046,3,0.4215686274509804,0.6417910447761194,0.5088757396449705,2,0.335,1.0,0.50187265917603
1047,3,0.3076923076923077,0.8571428571428571,0.4528301886792454,2,0.2333333333333333,1.0,0.3783783783783784
1048,3,0.8582677165354331,0.8515625,0.8549019607843137,3,1.0,1.0,1.0
1049,2,0.5622568093385214,0.9174603174603174,0.6972255729794933,2,0.5622568093385214,0.9174603174603174,0.6972255729794933
1050,3,0.5288888888888889,0.9545454545454546,0.6806482364156339,4,0.8165938864628821,1.0,0.8990384615384616
1051,3,0.5222929936305732,0.6890756302521008,0.5942028985507246,2,0.3453815261044177,0.7226890756302521,0.4673913043478262
1052,3,0.5510791366906475,0.7979166666666667,0.6519148936170213,2,0.22957198443579765,0.4916666666666666,0.31299734748010605
1053,2,0.75,0.75,0.75,1,0.4444444444444444,1.0,0.6153846153846153
1054,3,0.2606837606837607,0.9384615384615383,0.4080267558528428,2,0.1783625730994152,0.9384615384615383,0.2997542997542997
1055,2,0.8181818181818182,1.0,0.9,2,0.703125,0.8333333333333334,0.7627118644067796
